3.2365e+05,3.2492e+05,3.2429e+05,3.2698e+05,3.2525e+05,3.2903e+05,3.2702e+05,3.2870e+05,3.2836e+05,3.2933e+05,3.2989e+05,3.2985e+05,3.2974e+05,3.3145e+05,3.3100e+05,3.3187e+05
3.2314e+05,3.2441e+05,3.2379e+05,3.2649e+05,3.2474e+05,3.2852e+05,3.2651e+05,3.2819e+05,3.2786e+05,3.2881e+05,3.2938e+05,3.2934e+05,3.2924e+05,3.3096e+05,3.3051e+05,3.3134e+05
3.2307e+05,3.2435e+05,3.2374e+05,3.2644e+05,3.2470e+05,3.2846e+05,3.2645e+05,3.2815e+05,3.2781e+05,3.2877e+05,3.2933e+05,3.2930e+05,3.2920e+05,3.3091e+05,3.3046e+05,3.3127e+05
3.2298e+05,3.2428e+05,3.2365e+05,3.2637e+05,3.2463e+05,3.2838e+05,3.2638e+05,3.2807e+05,3.2774e+05,3.2872e+05,3.2927e+05,3.2924e+05,3.2914e+05,3.3083e+05,3.3039e+05,3.3119e+05
3.2293e+05,3.2423e+05,3.2361e+05,3.2634e+05,3.2461e+05,3.2834e+05,3.2634e+05,3.2804e+05,3.2773e+05,3.2870e+05,3.2924e+05,3.2921e+05,3.2913e+05,3.3080e+05,3.3036e+05,3.3113e+05
3.2280e+05,3.2412e+05,3.2351e+05,3.2627e+05,3.2455e+05,3.2826e+05,3.2627e+05,3.2797e+05,3.2767e+05,3.2866e+05,3.2920e+05,3.2916e+05,3.2911e+05,3.3075e+05,3.3030e+05,3.3100e+05
3.2256e+05,3.2389e+05,3.2335e+05,3.2614e+05,3.2446e+05,3.2810e+05,3.2614e+05,3.2781e+05,3.2759e+05,3.2858e+05,3.2911e+05,3.2908e+05,3.2909e+05,3.3067e+05,3.3022e+05,3.3084e+05
3.2177e+05,3.2311e+05,3.2271e+05,3.2560e+05,3.2409e+05,3.2756e+05,3.2565e+05,3.2724e+05,3.2725e+05,3.2828e+05,3.2885e+05,3.2878e+05,3.2900e+05,3.3037e+05,3.2995e+05,3.3043e+05
3.1851e+05,3.1961e+05,3.1993e+05,3.2319e+05,3.2203e+05,3.2451e+05,3.2319e+05,3.2433e+05,3.2577e+05,3.2659e+05,3.2721e+05,3.2734e+05,3.2851e+05,3.2941e+05,3.2924e+05,3.2961e+05
3.1017e+05,3.1131e+05,3.1284e+05,3.1614e+05,3.1560e+05,3.1742e+05,3.1726e+05,3.1789e+05,3.2153e+05,3.2108e+05,3.2346e+05,3.2400e+05,3.2636e+05,3.2730e+05,3.2776e+05,3.2852e+05
3.0806e+05,3.0812e+05,3.0938e+05,3.1125e+05,3.1094e+05,3.1248e+05,3.1427e+05,3.1427e+05,3.1702e+05,3.1590e+05,3.2008e+05,3.2015e+05,3.2259e+05,3.2411e+05,3.2568e+05,3.2715e+05
3.0865e+05,3.0804e+05,3.0914e+05,3.1025e+05,3.1015e+05,3.1103e+05,3.1397e+05,3.1379e+05,3.1597e+05,3.1435e+05,3.1934e+05,3.1873e+05,3.2059e+05,3.2215e+05,3.2465e+05,3.2613e+05
